       1         2   .2704259074127328E+01   .2731438240195080E+01
       1         3   .4472892845799014E+01   .4517847672288210E+01
       1         4   .4193622171822353E+01   .4235770187344921E+01
       1         5   .5678773711814897E+01   .5735848248515641E+01
       2         3   .2906097367604874E+01   .2935305110205748E+01
       2         4   .2404425382497866E+01   .2428591068912180E+01
       2         5   .4585412854912853E+01   .4631498564179853E+01
       2         6   .2215912974374222E+01   .2238184016116640E+01
       3         4   .1743909289498742E+01   .1761436456418456E+01
       3         5   .3344627737133087E+01   .3378242930873976E+01
       3         6   .2977350238047247E+01   .3007274107892395E+01
       3        17   .2354590416611769E+01   .2378255236512679E+01
       3        18   .3260472114587088E+01   .3293241501924813E+01
       3        19   .2897445102154656E+01   .2926565885128849E+01
       3        21   .3019057016685839E+01   .3049400060667671E+01
       4         5   .2327657584353851E+01   .2351051715722138E+01
       4         6   .3325718233705319E+01   .3359143377410382E+01
       4        17   .2695715700885392E+01   .2722809001748014E+01
       4        18   .2796305584159213E+01   .2824409864024695E+01
       5        18   .3394805129900685E+01   .3428924631717648E+01
       5        43   .3293984016354658E+01   .3327090215188035E+01
       5        44   .2267703194864796E+01   .2290494754414427E+01
       6         7   .2841605035890805E+01   .2870164598067502E+01
       6         8   .3493392106534848E+01   .3528502457133901E+01
       6         9   .2925045276572656E+01   .2954443455204382E+01
       6        17   .2763829566018859E+01   .2791607445541008E+01
       7         8   .2480283360827951E+01   .2505211458140808E+01
       7         9   .4057174101514501E+01   .4097950745189600E+01
       7        10   .2376026041523955E+01   .2399906300254241E+01
       8         9   .2501990827321312E+01   .2527137095608385E+01
       8        10   .2689630119551756E+01   .2716662257256134E+01
       8        12   .2773439269210702E+01   .2801313731091181E+01
       8        13   .3354398388683136E+01   .3388111782394438E+01
       9        13   .3252500095311292E+01   .3285189359839089E+01
       9        14   .2790183752013471E+01   .2818226504381784E+01
       9        16   .2936238946339349E+01   .2965749626991464E+01
       9        17   .3125783399405662E+01   .3157199097301280E+01
      10        11   .2787648864186446E+01   .2815666139655052E+01
      10        12   .2588571447729418E+01   .2614587894869854E+01
      11        19   .3297299795287046E+01   .3330439319369142E+01
      11        21   .3202000822923069E+01   .3234182544322445E+01
      11        22   .2482219271136210E+01   .2507166825322953E+01
      12        13   .2218831131474413E+01   .2241131502165820E+01
      12        14   .2631232002313747E+01   .2657677209519623E+01
      13        14   .2656355958827808E+01   .2683053674453794E+01
      14        15   .2797000298534124E+01   .2825111560629063E+01
      14        16   .2663852867558568E+01   .2690625930894149E+01
      14        17   .2237773641367685E+01   .2260264393826525E+01
      14        18   .3479576340590908E+01   .3514547835782010E+01
      14        19   .2564882699072225E+01   .2590661062354553E+01
      15        16   .2365142902659376E+01   .2388913780361279E+01
      15        17   .3018819759442420E+01   .3049160418869429E+01
      15        18   .2560040609052911E+01   .2585770306891159E+01
      15        34   .3368540364905846E+01   .3402395892602742E+01
      15        36   .2771360640551858E+01   .2799214211167128E+01
      16        17   .1771395949526817E+01   .1789199371227258E+01
      16        18   .1771624517215766E+01   .1789430236136630E+01
      17        18   .1770793093503590E+01   .1788590456197286E+01
      17        19   .2869096092848761E+01   .2897931953997544E+01
      19        20   .2775320511220280E+01   .2803213880530702E+01
